feature,importance
s9,0.16046850142421804
s2,0.15290250812522815
s13,0.1449033375843034
s8,0.14090091412383648
s3,0.13834874371994615
s17,0.1339374537588689
s15,0.12675897143166368
s21,0.12114365268493213
s14,0.1200076441239277
s11,0.07923188573245989
s4,0.07742721930231831
s12,0.058360319749757764
s7,0.048007425549571506
s20,0.025093507222960852
